name,address,latitude,longitude
金沢市営中央市民体育館,金沢市長町３丁目３番３号,36.56651068,136.6455649
穴水町児童公園,金沢市長土塀１丁目151番地ほか,36.568975,136.648137
神保緑地,金沢市三社町373番地11,36.5699537,136.642311
デイサービスセンター玉川苑,金沢市芳斉２丁目３番28号,36.57199978,136.6499908
金沢市芳斎公民館,金沢市芳斉２丁目３番29号,36.571991,136.649815
金沢市女性センター,金沢市三社町１番44号,36.57050711,136.6455484
玉川公園,金沢市玉川町11番３号,36.56907574,136.6508313
金沢市此花町公民館,金沢市此花町２番７号,36.57717463,136.6519152
此花町緑地,金沢市此花町149番地１,36.57736937,136.6522762
堀川新町公園,金沢市堀川新町70番地１ほか,36.58108288,136.6510406
金沢市立明成小学校,金沢市瓢箪町5番48号,36.57681177,136.6572885
金沢市瓢箪町公民館,金沢市彦三町２丁目10番５号,36.57577223,136.6573991
金沢市中央公民館彦三館,金沢市彦三町１丁目15番５号,36.57471418,136.6595586
金沢市立馬場小学校,金沢市東山３丁目９番30号,36.57469694,136.6654887
金沢市馬場公民館,金沢市東山３丁目９番35号,36.57444688,136.6650806
子来町さくら公園,金沢市子来町33番地,36.57223051,136.671725
子来町緑地,金沢市子来町２番地ほか,36.57264566,136.6694463
金沢市立浅野町小学校,金沢市京町35番１号,36.58208,136.658873
金沢市浅野町公民館,金沢市乙丸町甲161番地,36.586739,136.665312
元町第３児童公園,金沢市元町２丁目137番地ほか,36.58061602,136.6632017
浅野本町第２児童公園,金沢市浅野本町２丁目125番地,36.58426294,136.6608786
浅野本町第３児童公園,金沢市京町59番地,36.58447412,136.6576181
金沢市立森山町小学校,金沢市森山２丁目13番50号,36.57836528,136.6681871
石川県立金沢桜丘高等学校,金沢市大樋町16番１号,36.58336475,136.6789926
金沢市立鳴和中学校,金沢市鳴和２丁目10番60号,36.58673713,136.6714629
金沢市営城北市民体育館,金沢市鳴和２丁目10番44号,36.58749431,136.6699115
金沢市森山公民館,金沢市森山２丁目11番13号,36.5794096,136.6690429
金沢市鳴和台市民体育会館,金沢市鳴和台285番地,36.57702167,136.6792616
小金町公園,金沢市小金町183番地ほか,36.58322889,136.6712046
鳴和憩いの広場,金沢市鳴和町タ175番地ほか,36.58020062,136.6781863
鳴和台桜丘公園,金沢市鳴和台20番地,36.58088364,136.6790823
鳴和台市民公園,金沢市鳴和台285番地ほか,36.57705301,136.6800054
金沢市立小坂小学校,金沢市小坂町中142番地,36.59010151,136.6776713
星稜高等学校,金沢市小坂町南206番地,36.58495928,136.6824429
金沢市立北鳴中学校,金沢市小坂町北95番地,36.59512422,136.6764992
金沢星稜大学,金沢市御所町丑10番地１,36.58360241,136.6820866
金沢市小坂公民館,金沢市小坂町北312番地,36.593443,136.675689
金沢市立城北児童会館,金沢市小坂町西8番地11,36.58957268,136.6718964
金沢市営東金沢スポーツ広場,金沢市三池町240番地１,36.59359632,136.6707812
三池はすのみ公園,金沢市三池栄町201番地,36.59632169,136.6729225
三池はすの里公園,金沢市三池栄町346番地,36.59741347,136.6689094
東金沢駅前かがやき公園,金沢市三池町197番地53,36.59305834,136.6705572
小坂白蓮公園,金沢市小坂町南589番地,36.58583923,136.6792725
城北中央公園,金沢市小坂町西８番地６ほか,36.58981564,136.6737764
神宮寺運動公園,金沢市神宮寺３丁目123番地ほか,36.5866332,136.6664608
神宮寺桜児童公園,金沢市神宮寺２丁目326番地ほか,36.58741201,136.6681883
神谷内児童公園,金沢市神谷内町チ204番地１,36.59863774,136.6890238
金沢市立千坂小学校,金沢市千木１丁目125番地,36.60575006,136.6753219
金沢市千坂公民館,金沢市千木１丁目119番地,36.60578084,136.6741686
横枕はすの里公園,金沢市横枕町ハ80番地１,36.60704174,136.6775353
金市やすらぎ公園,金沢市金市町ニ12番地１,36.61064277,136.6817193
荒屋八幡公園,金沢市荒屋１丁目96番地,36.61628941,136.6852804
千木日吉の森公園,金沢市千木町カ66番地ほか,36.61093626,136.6675655
東インター公園,金沢市疋田３丁目65番地,36.60477,136.67284
疋田中央公園,金沢市疋田１丁目187番地,36.60204227,136.6730641
福久かねと公園,金沢市福久２丁目131番地,36.61934226,136.6819637
福久町わんぱく公園,金沢市福久町ヲ121番地ほか,36.61422642,136.6786022
福久中央公園,金沢市福久１丁目78番地,36.61722454,136.6793594
福久南ほたる公園,金沢市福久町ヘ47番地１,36.61116213,136.6791312
法光寺ふれあい公園,金沢市法光寺町124番地１ほか,36.60458049,136.6819751
金沢市営法光寺運動広場,金沢市法光寺町ト11番地２,36.60181175,136.6848825
金沢市立夕日寺小学校,金沢市東長江町に17番地,36.57756841,136.6923801
卯辰山公園健康交流センター千寿閣,金沢市東長江町辺２番地１,36.56753936,136.6892639
金沢市夕日寺公民館,金沢市夕日寺町ロ35番地,36.57264161,136.705598
奥卯辰山健民公園,金沢市若松町、東長江町ほか,36.56005669,136.6976496
御所かつら公園,金沢市御所町１丁目42番地,36.58090367,136.6924063
御所さくら公園,金沢市御所町１丁目407番地,36.5803783,136.6966146
御所にし公園,金沢市御所町２丁目189番地,36.58191281,136.6972594
御所ひがし公園,金沢市御所町２丁目172番地,36.58118,136.70015
山王町第２児童公園,金沢市山王町２丁目168番地ほか,36.57581139,136.6967748
山王町第４児童公園,金沢市山王町１丁目394番地,36.57343423,136.7043939
金沢市立諸江町小学校,金沢市北安江２丁目25番１号,36.58863496,136.647934
金沢市立浅野川中学校,金沢市諸江町下丁388番地,36.60261397,136.6491542
金沢勤労者プラザ,金沢市北安江３丁目２番20号,36.58314476,136.6465801
金沢市諸江公民館,金沢市諸江町29番１号,36.59062966,136.6415363
駅西第２児童公園,金沢市北安江３丁目1201番地,36.58542402,136.6467542
割出町公園,金沢市割出町418番地,36.60257221,136.6399427
諸江児童公園,金沢市諸江町2815番地,36.5928866,136.642016
諸江町下丁ふれあい公園,金沢市諸江町下丁263番地１,36.60029297,136.6468634
諸江町上丁ゆうあい公園,金沢市諸江町上丁524番地１,36.59411721,136.647952
北安江２丁目公園,金沢市北安江２丁目1408番地,36.58619078,136.6494317
問屋児童公園,金沢市問屋町２丁目117番地１ほか,36.60779613,136.6392639
問屋町緑地,金沢市問屋町１丁目61番地,36.60606619,136.638347
金沢市立浅野川小学校,金沢市須崎町チ42番地,36.6210696,136.6416554
金沢市浅野川公民館,金沢市大河端西１丁目96番地,36.61532814,136.6396038
金沢市営浅野川市民体育館,金沢市大河端西１丁目96番地,36.61479179,136.6399429
弓取町児童公園,金沢市弓取町172番地,36.61126002,136.6402967
三口町第１児童公園,金沢市三口町火237番地,36.60789117,136.6401312
北間町公園,金沢市北間町ホ161番地,36.62248221,136.6345278
北間町西公園,金沢市北間町ハ93番地１,36.62107317,136.6381143
大河端西鷹狩り公園,金沢市大河端西１丁目57番地,36.61430387,136.639517
湊２丁目釣公園,金沢市湊２丁目34番地１,36.6352535,136.6468495
湊運動公園,金沢市湊２丁目86番地,36.63342485,136.6466039
金沢市立鞍月小学校,金沢市南新保町リ27番地１,36.60173266,136.632538
金沢市立港中学校,金沢市近岡町217番地,36.609826,136.628096
金沢市鞍月公民館,金沢市直江南１丁目１番地,36.60292557,136.6328412
鞍月セントラルパーク,金沢市鞍月１丁目８番地,36.59245918,136.6247949
西部緑道,金沢市鞍月３丁目70番地ほか,36.59882301,136.6173127
鞍月磯のひろば公園,金沢市鞍月４丁目53番地,36.59723914,136.6218657
鞍月広場,金沢市鞍月４丁目21番地,36.59909098,136.6207434
鞍月中央公園,金沢市直江西１丁目201番地,36.61087833,136.6345049
戸水公園,金沢市湊４丁目62番地,36.60810647,136.62383
戸水船のひろば公園,金沢市戸水１丁目400番地,36.60328943,136.6205224
大友なぎさ公園,金沢市大友１丁目148番地,36.59960754,136.6263233
直江北公園,金沢市直江北１丁目176番地,36.61534252,136.6337685
湊３丁目公園,金沢市湊３丁目19番地１,36.62503321,136.6359815
金沢市立粟崎小学校,金沢市粟崎町ヘ78番地,36.62123295,136.6245675
金沢市ものづくり会館,金沢市粟崎町４丁目80番地１,36.62856087,136.6203539
金沢市粟崎公民館,金沢市粟崎町１丁目３番地,36.62561064,136.6278979
粟崎第１公園,金沢市粟崎町３丁目242番地,36.62680927,136.6213539
粟崎中央公園,金沢市粟崎町２丁目247番地,36.62799107,136.626058
粟崎町４丁目児童公園,金沢市粟崎町４丁目６番地ほか,36.63407535,136.6215949
木谷公園,金沢市粟崎町リ１番地１ほか,36.62550141,136.6314891
金沢市松寺公民館,金沢市松寺町丑42番地,36.60386147,136.6519044
金沢プール,金沢市磯部町ハ55番地,36.59706661,136.6598392
金沢市営城北市民テニスコート,金沢市松寺町酉90番地１,36.60150254,136.6564589
金沢市城北市民運動公園,金沢市磯部町ニ25番地１ほか,36.59754244,136.6583608
松寺中央公園,金沢市松寺町子83番地１,36.60229692,136.6518202
金沢市立大浦小学校,金沢市大浦町ヌ87番地,36.623324,136.653178
金沢市大浦公民館,金沢市大浦町ヲ39番地１,36.62438853,136.6531212
こなん水辺公園,金沢市東蚊爪町マ33番１ほか,36.63260979,136.6642035
みなと新婚の森,金沢市湊２丁目123番地,36.63500249,136.648866
瑞樹西公園,金沢市みずき４丁目247番地,36.62300616,136.6666877
瑞樹中央公園,金沢市みずき２丁目262番地,36.62184263,136.6719696
湊１丁目公園,金沢市湊１丁目118番地１,36.64001,136.65756
湊２丁目水鳥公園,金沢市湊２丁目90番地１ほか,36.63644683,136.6477203
木越運動公園,金沢市木越３丁目99番地,36.61776066,136.666577
木越中央公園,金沢市木越２丁目１番地,36.61958316,136.6672908
